ID,ADM1_CODE,ADM1_NAME,XCOORD,YCOORD,ELEVATION,SLOPE,ASPECT
5165100,2716,Andalucia,-5.815297,37.331632,84,2.76496,153.43495
5165200,2716,Andalucia,-5.770198,37.332697,61,3.0441,113.96249
5165300,2716,Andalucia,-5.725096,37.333745,49,0.58901,336.80139
5165400,2716,Andalucia,-5.679992,37.334776,53,0.48915,18.43495
5165500,2716,Andalucia,-5.634886,37.33579,52,1.12599,195.9454
5165600,2716,Andalucia,-5.589777,37.336787,57,0.24458,108.43495
5165700,2716,Andalucia,-5.544667,37.337766,71,0.21876,135
5165800,2716,Andalucia,-5.499554,37.338729,113,1.24692,97.12502
5165900,2716,Andalucia,-5.454439,37.339674,102,2.0773,135
5166000,2716,Andalucia,-5.409322,37.340602,126,2.53539,217.56859
5166100,2716,Andalucia,-5.364203,37.341513,100,0.24458,251.56505
5166200,2716,Andalucia,-5.319081,37.342406,105,0.58901,66.80141
5166300,2716,Andalucia,-5.273958,37.343283,136,1.09366,81.8699
5166400,2716,Andalucia,-5.228833,37.344142,143,0.34588,333.43494
5166500,2716,Andalucia,-5.183706,37.344984,152,0.99038,231.34019
5166600,2716,Andalucia,-5.138578,37.345809,150,0.24458,18.43495
5166700,2716,Andalucia,-5.093447,37.346616,168,0.46405,180
5166800,2716,Andalucia,-5.048315,37.347407,210,1.22272,304.69516
5166900,2716,Andalucia,-5.00318,37.34818,207,1.09366,278.1301
5167000,2716,Andalucia,-4.958045,37.348936,212,0.88178,285.25513
5167100,2716,Andalucia,-4.912907,37.349675,286,2.54244,340.46335
5167200,2716,Andalucia,-4.867768,37.350396,283,3.34258,326.30994
5167300,2716,Andalucia,-4.822627,37.3511,285,0.7887,348.69006
5167400,2716,Andalucia,-4.777485,37.351788,251,0.69174,116.56505
5167500,2716,Andalucia,-4.732341,37.352457,191,5.06088,37.56859
5167600,2716,Andalucia,-4.687196,37.35311,212,0.32814,225
5167700,2716,Andalucia,-4.642049,37.353746,281,4.78288,342.14969
5167800,2716,Andalucia,-4.596901,37.354364,339,14.04429,353.18179
5167900,2716,Andalucia,-4.551752,37.354965,367,7.19507,335.35321
5168000,2716,Andalucia,-4.506601,37.355549,481,4.6471,234.46233
5168100,2716,Andalucia,-4.461449,37.356115,522,1.31687,49.76364
