"ID,N,10,0","XCOORD,N,21,6","YCOORD,N,21,6"
65562,-14000.000000,9399000.000000
65563,-10000.000000,9399000.000000
65564,-6000.000000,9399000.000000
65565,-2000.000000,9399000.000000
65566,2000.000000,9399000.000000
65567,6000.000000,9399000.000000
65568,10000.000000,9399000.000000
65569,14000.000000,9399000.000000
65570,18000.000000,9399000.000000
65571,22000.000000,9399000.000000
65572,26000.000000,9399000.000000
65573,30000.000000,9399000.000000
65574,34000.000000,9399000.000000
65575,38000.000000,9399000.000000
65576,42000.000000,9399000.000000
65577,46000.000000,9399000.000000
65578,50000.000000,9399000.000000
65579,54000.000000,9399000.000000
65580,58000.000000,9399000.000000
65581,62000.000000,9399000.000000
65582,66000.000000,9399000.000000
65583,70000.000000,9399000.000000
65584,74000.000000,9399000.000000
65585,78000.000000,9399000.000000
65586,82000.000000,9399000.000000
65587,86000.000000,9399000.000000
65588,90000.000000,9399000.000000
65589,94000.000000,9399000.000000
65590,98000.000000,9399000.000000
65591,102000.000000,9399000.000000
65592,106000.000000,9399000.000000
65593,110000.000000,9399000.000000
65594,114000.000000,9399000.000000
65595,118000.000000,9399000.000000
65596,122000.000000,9399000.000000
65597,126000.000000,9399000.000000
65598,130000.000000,9399000.000000
65599,134000.000000,9399000.000000
65600,138000.000000,9399000.000000
65601,142000.000000,9399000.000000
65602,146000.000000,9399000.000000
65603,150000.000000,9399000.000000
65604,154000.000000,9399000.000000
65605,158000.000000,9399000.000000
65606,162000.000000,9399000.000000
65607,166000.000000,9399000.000000
65608,170000.000000,9399000.000000
65609,174000.000000,9399000.000000
65610,178000.000000,9399000.000000
65611,182000.000000,9399000.000000
65612,186000.000000,9399000.000000
65613,190000.000000,9399000.000000
65614,194000.000000,9399000.000000
65615,198000.000000,9399000.000000
65616,202000.000000,9399000.000000
65617,206000.000000,9399000.000000
65618,210000.000000,9399000.000000
65619,214000.000000,9399000.000000
65620,218000.000000,9399000.000000
65621,222000.000000,9399000.000000
66076,-38000.000000,9395000.000000
66077,-34000.000000,9395000.000000
66078,-30000.000000,9395000.000000
66079,-26000.000000,9395000.000000
66080,-22000.000000,9395000.000000
66081,-18000.000000,9395000.000000
66082,-14000.000000,9395000.000000
66083,-10000.000000,9395000.000000
66084,-6000.000000,9395000.000000
66085,-2000.000000,9395000.000000
66086,2000.000000,9395000.000000
66087,6000.000000,9395000.000000
66088,10000.000000,9395000.000000
66089,14000.000000,9395000.000000
66090,18000.000000,9395000.000000
66091,22000.000000,9395000.000000
66092,26000.000000,9395000.000000
66093,30000.000000,9395000.000000
66094,34000.000000,9395000.000000
66095,38000.000000,9395000.000000
66096,42000.000000,9395000.000000
66097,46000.000000,9395000.000000
66098,50000.000000,9395000.000000
66099,54000.000000,9395000.000000
66100,58000.000000,9395000.000000
66101,62000.000000,9395000.000000
66102,66000.000000,9395000.000000
66103,70000.000000,9395000.000000
66104,74000.000000,9395000.000000
66105,78000.000000,9395000.000000
66106,82000.000000,9395000.000000
66107,86000.000000,9395000.000000
66108,90000.000000,9395000.000000
66109,94000.000000,9395000.000000
66110,98000.000000,9395000.000000
66111,102000.000000,9395000.000000
66112,106000.000000,9395000.000000
66113,110000.000000,9395000.000000
66114,114000.000000,9395000.000000
66115,118000.000000,9395000.000000
66116,122000.000000,9395000.000000
66117,126000.000000,9395000.000000
66118,130000.000000,9395000.000000
66119,134000.000000,9395000.000000
66120,138000.000000,9395000.000000
66121,142000.000000,9395000.000000
66122,146000.000000,9395000.000000
66123,150000.000000,9395000.000000
66124,154000.000000,9395000.000000
66125,158000.000000,9395000.000000
66126,162000.000000,9395000.000000
66127,166000.000000,9395000.000000
66128,170000.000000,9395000.000000
66129,174000.000000,9395000.000000
66130,178000.000000,9395000.000000
66131,182000.000000,9395000.000000
66132,186000.000000,9395000.000000
66133,190000.000000,9395000.000000
66134,194000.000000,9395000.000000
66135,198000.000000,9395000.000000
66136,202000.000000,9395000.000000
66137,206000.000000,9395000.000000
66138,210000.000000,9395000.000000
66139,214000.000000,9395000.000000
66140,218000.000000,9395000.000000
66141,222000.000000,9395000.000000
66142,226000.000000,9395000.000000
66143,230000.000000,9395000.000000
66596,-38000.000000,9391000.000000
66597,-34000.000000,9391000.000000
66598,-30000.000000,9391000.000000
66599,-26000.000000,9391000.000000
66600,-22000.000000,9391000.000000
66601,-18000.000000,9391000.000000
66602,-14000.000000,9391000.000000
66603,-10000.000000,9391000.000000
66604,-6000.000000,9391000.000000
66605,-2000.000000,9391000.000000
66606,2000.000000,9391000.000000
66607,6000.000000,9391000.000000
66608,10000.000000,9391000.000000
66609,14000.000000,9391000.000000
66610,18000.000000,9391000.000000
66611,22000.000000,9391000.000000
66612,26000.000000,9391000.000000
66613,30000.000000,9391000.000000
66614,34000.000000,9391000.000000
66615,38000.000000,9391000.000000
66616,42000.000000,9391000.000000
66617,46000.000000,9391000.000000
66618,50000.000000,9391000.000000
66619,54000.000000,9391000.000000
66620,58000.000000,9391000.000000
66621,62000.000000,9391000.000000
66622,66000.000000,9391000.000000
66623,70000.000000,9391000.000000
66624,74000.000000,9391000.000000
66625,78000.000000,9391000.000000
66626,82000.000000,9391000.000000
66627,86000.000000,9391000.000000
66628,90000.000000,9391000.000000
66629,94000.000000,9391000.000000
66630,98000.000000,9391000.000000
66631,102000.000000,9391000.000000
66632,106000.000000,9391000.000000
66633,110000.000000,9391000.000000
66634,114000.000000,9391000.000000
66635,118000.000000,9391000.000000
66636,122000.000000,9391000.000000
66637,126000.000000,9391000.000000
66638,130000.000000,9391000.000000
66639,134000.000000,9391000.000000
66640,138000.000000,9391000.000000
66641,142000.000000,9391000.000000
66642,146000.000000,9391000.000000
66643,150000.000000,9391000.000000
66644,154000.000000,9391000.000000
66645,158000.000000,9391000.000000
66646,162000.000000,9391000.000000
66647,166000.000000,9391000.000000
66648,170000.000000,9391000.000000
